,make,model,ramat_gimur,fieldyear,fielddoors,fieldsitting,fieldprice,fieldgroupy,fieldcontinous_value,fieldguarantee,fieldlaunch,fieldignition,fieldgearbox,fieldgear,fieldengine,fieldpiston,fieldcapacity,fieldpower,fieldloops,fieldmoment,fieldloopmoment,fieldacceleration,fieldspeed,fieldurban_consumption,fieldintercity_consumption,fieldconsumption,fieldelectricity_use,fieldbattery_capacity,fieldelectric_range,fieldhome_charging_time,fieldfast_charging_time,fieldpollution,fieldbreaking,fieldbrake,fieldairbag,fieldstability,fieldcenairbag,fieldizofix,fieldpressure_sensor,fieldbelt_warning,fieldautonomous_braking,fieldpedestrian_identification,fieldtwo_wheeler_identification,fieldadaptive_cruise_control,fieldlane_assist,fieldblind_spot,fieldrear_traffic,fieldrear_traffic_braking,fieldalert_fatigue,fieldhigh_beam_assist,fieldtraffic_sign_recognition,fieldcrossing_warning_open_door,fieldchild_rear_seat,fieldadditional_safety_equipment,fieldlength,fieldwidth,fieldheight,fieldwheel,fieldcargo,fieldchaircargo,fieldselfweight,fieldtowing_without_brakes,fieldtowing_with_brakes,fieldtire,fieldfuel,fieldaudio,fieldbluetooth,fielddisc_changer,fieldtouch_screen,fieldscreen_size,fieldgps,fieldaudio_connections,fieldconnectivity,fieldwireless_charging,fieldseat_screens,fieldwindows,fieldairconditioning,fieldsunroof,fieldhook,fieldrowing,fieldupholstery,fieldautochair,fieldhotchair,fieldmassage_seats,fieldlight,fieldfog,fieldrain,fielddark,fieldparking_sensors,fieldparking_camers,fieldautomatic_parking,fieldcomputer,fielddigital_cluster,fieldhead_up_display,fieldwithout_key,fieldfolding_mirrors,fieldinside_mirror,fieldleather,fieldheated_steering_wheel,fieldpaddle_shifters,fielddriving_mode,fieldstop_start,fieldelectric_handbrake,fieldambient_light,fieldhill_assist,fieldsuspension_dampers,fieldelectric_tailgate,fieldmore_equ,fieldprice_equ
0,הונדה,לג'נד,,2009.0,4.0,5,--,7.0,--,--,2006.0,כפולה (4X4),אוטומטית - טיפטרוניק,5,בנזין,6.0,3664.0,295.0,6200.0,37.8,5000.0,7.1,250,--,--,8.6,--,--,--,--,--,15,0,ABS + EBD + BAS,6.0,יש,יש,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,498.5,184.5,145.0,280.0,452.0,--,1868.0,--,--,235/50R17,73.0,מקורית + שליטה מההגה,יש,אין,אין,--,אין,אין,--,--,אין,4.0,בקרת אקלים + פתחי איוורור מאחור,יש,יש,יש,עור,יש  + זכרון,אין,--,קסנון,יש,יש,יש,אחוריים,אין,אין,יש,--,--,אין,יש,אופציונלי,אין,--,--,--,--,--,--,--,--,--,--,"חבילת בטיחות מורחבת הכוללת מערכת CMBS להפחתת נזקי התנגשות, מערכת ACC  (בקרת שיוט אדפטיבית)  ומערכת EPT (קדם מותחנים אלקטרוניים) - 42,000 ש""ח"
1,הונדה,לג'נד,,2010.0,4.0,5,--,7.0,--,--,2006.0,כפולה (4X4),אוטומטית - טיפטרוניק,5,בנזין,6.0,3664.0,295.0,6200.0,37.8,5000.0,7.1,250,--,--,8.6,--,--,--,--,--,15,0,ABS + EBD + BAS,6.0,יש,יש,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,498.5,184.5,145.0,280.0,452.0,--,1868.0,--,--,235/50R17,73.0,מקורית + שליטה מההגה,יש,אין,אין,--,אין,אין,--,--,אין,4.0,בקרת אקלים + פתחי איוורור מאחור,יש,יש,יש,עור,יש  + זכרון,אין,--,קסנון,יש,יש,יש,אחוריים,אין,אין,יש,--,--,אין,יש,אופציונלי,אין,--,--,--,--,--,--,--,--,--,--,"חבילת בטיחות מורחבת הכוללת מערכת CMBS להפחתת נזקי התנגשות, מערכת ACC  (בקרת שיוט אדפטיבית)  ומערכת EPT (קדם מותחנים אלקטרוניים) - 42,000 ש""ח"
2,הונדה,לג'נד,,2008.0,4.0,5,--,7.0,--,--,2006.0,כפולה (4X4),אוטומטית - טיפטרוניק,5,בנזין,6.0,3664.0,295.0,6200.0,37.8,5000.0,7.1,250,--,--,8.6,--,--,--,--,--,--,0,ABS + EBD + BAS,6.0,יש,יש,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,498.5,184.5,145.0,280.0,452.0,--,1868.0,--,--,235/50R17,73.0,מקורית + שליטה מההגה,יש,אין,אין,--,אין,אין,--,--,אין,4.0,בקרת אקלים + פתחי איוורור מאחור,יש,יש,יש,עור,יש  + זכרון,אין,--,קסנון,יש,יש,יש,אחוריים,אין,אין,יש,--,--,אין,יש,אופציונלי,אין,--,--,--,--,--,--,--,--,--,--,"חבילת בטיחות מורחבת הכוללת מערכת CMBS להפחתת נזקי התנגשות, מערכת ACC  (בקרת שיוט אדפטיבית)  ומערכת EPT (קדם מותחנים אלקטרוניים) - 42,000 ש""ח"
3,הונדה,לג'נד,,2007.0,4.0,5,--,7.0,--,--,2006.0,כפולה (4X4),אוטומטית - טיפטרוניק,5,בנזין,6.0,3664.0,295.0,6200.0,37.8,5000.0,7.1,250,--,--,8.6,--,--,--,--,--,--,0,ABS + EBD + BAS,6.0,יש,יש,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,498.5,184.5,145.0,280.0,452.0,--,1868.0,--,--,235/50R17,73.0,מקורית + שליטה מההגה,יש,אין,אין,--,אין,אין,--,--,אין,4.0,בקרת אקלים + פתחי איוורור מאחור,יש,יש,יש,עור,יש  + זכרון,אין,--,קסנון,יש,יש,יש,אחוריים,אין,אין,יש,--,--,אין,יש,אופציונלי,אין,--,--,--,--,--,--,--,--,--,--,"חבילת בטיחות מורחבת הכוללת מערכת CMBS להפחתת נזקי התנגשות, מערכת ACC  (בקרת שיוט אדפטיבית)  ומערכת EPT (קדם מותחנים אלקטרוניים) - 42,000 ש""ח"
4,הונדה,CRZ,,2013.0,3.0,2+2,--,5.0,--,--,2010.0,קדמית,ידנית,6,היברידי (בנזין),4.0,1497.0,124.0,6100.0,17.7,1000.0,9.9,200,16.3,22.7,20.0,--,--,--,--,--,3,0,ABS + EBD + BAS,6.0,יש,יש,יש,אין,יש,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,408.0,174.0,139.5,243.5,233.0,401,1165.0,--,--,195/55R16,40.0,מקורית + שליטה מההגה,אין,אין,אין,--,אין,USB,--,--,אין,2.0,בקרת אקלים,אין,יש,ללא,בד,אין,אין,--,רגילים,יש,אין,אין,אין,אין,אין,יש,--,--,אין,אין,אין,יש,--,--,--,--,--,--,--,--,--,--,--
5,הונדה,CRZ,,2010.0,3.0,2+2,--,5.0,--,--,2010.0,קדמית,ידנית,6,היברידי (בנזין),4.0,1497.0,124.0,6100.0,17.7,1000.0,9.9,200,16.3,22.7,20.0,--,--,--,--,--,2,0,ABS + EBD + BAS,6.0,יש,יש,יש,אין,יש,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,408.0,174.0,139.5,243.5,233.0,401,1165.0,--,--,195/55R16,40.0,מקורית + שליטה מההגה,אין,אין,אין,--,אין,USB,--,--,אין,2.0,בקרת אקלים,אין,יש,ללא,בד,אין,אין,--,רגילים,יש,אין,אין,אין,אין,אין,יש,--,--,אין,אין,אין,יש,--,--,--,--,--,--,--,--,--,--,--
6,הונדה,CRZ,,2012.0,3.0,2+2,--,5.0,--,--,2010.0,קדמית,ידנית,6,היברידי (בנזין),4.0,1497.0,124.0,6100.0,17.7,1000.0,9.9,200,16.3,22.7,20.0,--,--,--,--,--,2,0,ABS + EBD + BAS,6.0,יש,יש,יש,אין,יש,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,408.0,174.0,139.5,243.5,233.0,401,1165.0,--,--,195/55R16,40.0,מקורית + שליטה מההגה,אין,אין,אין,--,אין,USB,--,--,אין,2.0,בקרת אקלים,אין,יש,ללא,בד,אין,אין,--,רגילים,יש,אין,אין,אין,אין,אין,יש,--,--,אין,אין,אין,יש,--,--,--,--,--,--,--,--,--,--,--
7,הונדה,CRZ,,2011.0,3.0,2+2,--,5.0,--,--,2010.0,קדמית,ידנית,6,היברידי (בנזין),4.0,1497.0,124.0,6100.0,17.7,1000.0,9.9,200,16.3,22.7,20.0,--,--,--,--,--,2,0,ABS + EBD + BAS,6.0,יש,יש,יש,אין,יש,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,408.0,174.0,139.5,243.5,233.0,401,1165.0,--,--,195/55R16,40.0,מקורית + שליטה מההגה,אין,אין,אין,--,אין,USB,--,--,אין,2.0,בקרת אקלים,אין,יש,ללא,בד,אין,אין,--,רגילים,יש,אין,אין,אין,אין,אין,יש,--,--,אין,אין,אין,יש,--,--,--,--,--,--,--,--,--,--,--
8,הונדה,FR-V,Trend,2009.0,5.0,6,--,4.0,--,שלוש שנים,2004.0,קדמית,אוטומטית - טיפטרוניק,5,בנזין,4.0,1799.0,140.0,6300.0,17.7,4300.0,12.5,185,--,--,12.3,--,--,--,--,--,8,0,ABS + EBD + BAS,6.0,יש,אין,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,428.5,181.0,161.0,268.0,439.0,1049,1449.0,--,--,205/55R16,58.0,מקורית,אין,אין,אין,--,אין,אין,--,--,אין,4.0,בקרת אקלים,אין,אין,ללא,בד,אין,אין,--,רגילים,אין,אין,אין,אין,אין,אין,אין,--,--,אין,אין,אין,אין,--,--,--,--,--,--,--,--,--,--,"פנסי ערפל, מחליף דיסקים מובנה, חישוקים קלים."
9,הונדה,FR-V,Comfort,2008.0,5.0,6,--,5.0,--,שלוש שנים,2004.0,קדמית,אוטומטית - טיפטרוניק,5,בנזין,4.0,1799.0,140.0,6300.0,17.7,4300.0,12.5,185,--,--,12.3,--,--,--,--,--,--,0,ABS + EBD + BAS,6.0,יש,אין,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,428.5,181.0,161.0,268.0,439.0,1049,1449.0,--,--,205/55R16,58.0,מקורית + שליטה מההגה,אין,אין,אין,--,אין,אין,--,--,אין,4.0,בקרת אקלים,אין,אין,יש,בד,אין,אין,--,רגילים,אין,אין,אין,אין,אין,אין,אין,--,--,אין,אין,אין,אין,--,--,--,--,--,--,--,--,--,--,"פנסי ערפל, מחליף דיסקים מובנה, חישוקים קלים."
10,הונדה,FR-V,Trend,2007.0,5.0,6,--,4.0,--,שלוש שנים,2004.0,קדמית,אוטומטית - טיפטרוניק,5,בנזין,4.0,1799.0,140.0,6300.0,17.7,4300.0,12.5,185,--,--,12.3,--,--,--,--,--,--,0,ABS + EBD + BAS,6.0,יש,אין,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,428.5,181.0,161.0,268.0,439.0,1049,1449.0,--,--,205/55R16,58.0,מקורית,אין,אין,אין,--,אין,אין,--,--,אין,4.0,בקרת אקלים,אין,אין,ללא,בד,אין,אין,--,רגילים,אין,אין,אין,אין,אין,אין,אין,--,--,אין,אין,אין,אין,--,--,--,--,--,--,--,--,--,--,"פנסי ערפל, מחליף דיסקים מובנה, חישוקים קלים."
11,הונדה,FR-V,Comfort,2010.0,5.0,6,--,5.0,--,שלוש שנים,2004.0,קדמית,אוטומטית - טיפטרוניק,5,בנזין,4.0,1799.0,140.0,6300.0,17.7,4300.0,12.5,185,--,--,12.3,--,--,--,--,--,8,0,ABS + EBD + BAS,6.0,יש,אין,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,428.5,181.0,161.0,268.0,439.0,1049,1449.0,--,--,205/55R16,58.0,מקורית + שליטה מההגה,אין,אין,אין,--,אין,אין,--,--,אין,4.0,בקרת אקלים,אין,אין,יש,בד,אין,אין,--,רגילים,אין,אין,אין,אין,אין,אין,אין,--,--,אין,אין,אין,אין,--,--,--,--,--,--,--,--,--,--,"פנסי ערפל, מחליף דיסקים מובנה, חישוקים קלים."
12,הונדה,FR-V,Trend,2008.0,5.0,6,--,4.0,--,שלוש שנים,2004.0,קדמית,אוטומטית - טיפטרוניק,5,בנזין,4.0,1799.0,140.0,6300.0,17.7,4300.0,12.5,185,--,--,12.3,--,--,--,--,--,--,0,ABS + EBD + BAS,6.0,יש,אין,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,428.5,181.0,161.0,268.0,439.0,1049,1449.0,--,--,205/55R16,58.0,מקורית,אין,אין,אין,--,אין,אין,--,--,אין,4.0,בקרת אקלים,אין,אין,ללא,בד,אין,אין,--,רגילים,אין,אין,אין,אין,אין,אין,אין,--,--,אין,אין,אין,אין,--,--,--,--,--,--,--,--,--,--,"פנסי ערפל, מחליף דיסקים מובנה, חישוקים קלים."
13,הונדה,FR-V,Executive,2010.0,5.0,6,--,5.0,--,שלוש שנים,2004.0,קדמית,אוטומטית - טיפטרוניק,5,בנזין,4.0,1799.0,140.0,6300.0,17.7,4300.0,12.5,185,--,--,12.3,--,--,--,--,--,8,0,ABS + EBD + BAS,6.0,יש,אין,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,428.5,181.0,161.0,268.0,439.0,1049,1449.0,--,--,205/55R16,58.0,מקורית + שליטה מההגה,אין,אין,אין,--,אין,אין,--,--,אין,4.0,בקרת אקלים,יש,יש,יש,בד,אין,אין,--,קסנון,יש,יש,אין,אין,אין,אין,אין,--,--,אין,אין,אין,אין,--,--,--,--,--,--,--,--,--,--,--
14,הונדה,FR-V,Executive,2008.0,5.0,6,--,5.0,--,שלוש שנים,2004.0,קדמית,אוטומטית - טיפטרוניק,5,בנזין,4.0,1799.0,140.0,6300.0,17.7,4300.0,12.5,185,--,--,12.3,--,--,--,--,--,--,0,ABS + EBD + BAS,6.0,יש,אין,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,428.5,181.0,161.0,268.0,439.0,1049,1449.0,--,--,205/55R16,58.0,מקורית + שליטה מההגה,אין,אין,אין,--,אין,אין,--,--,אין,4.0,בקרת אקלים,יש,יש,יש,בד,אין,אין,--,קסנון,יש,יש,אין,אין,אין,אין,אין,--,--,אין,אין,אין,אין,--,--,--,--,--,--,--,--,--,--,--
15,הונדה,FR-V,Comfort,2009.0,5.0,6,--,5.0,--,שלוש שנים,2004.0,קדמית,אוטומטית - טיפטרוניק,5,בנזין,4.0,1799.0,140.0,6300.0,17.7,4300.0,12.5,185,--,--,12.3,--,--,--,--,--,8,0,ABS + EBD + BAS,6.0,יש,אין,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,428.5,181.0,161.0,268.0,439.0,1049,1449.0,--,--,205/55R16,58.0,מקורית + שליטה מההגה,אין,אין,אין,--,אין,אין,--,--,אין,4.0,בקרת אקלים,אין,אין,יש,בד,אין,אין,--,רגילים,אין,אין,אין,אין,אין,אין,אין,--,--,אין,אין,אין,אין,--,--,--,--,--,--,--,--,--,--,"פנסי ערפל, מחליף דיסקים מובנה, חישוקים קלים."
16,הונדה,FR-V,Comfort,2007.0,5.0,6,--,5.0,--,שלוש שנים,2004.0,קדמית,אוטומטית - טיפטרוניק,5,בנזין,4.0,1799.0,140.0,6300.0,17.7,4300.0,12.5,185,--,--,12.3,--,--,--,--,--,--,0,ABS + EBD + BAS,6.0,יש,אין,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,428.5,181.0,161.0,268.0,439.0,1049,1449.0,--,--,205/55R16,58.0,מקורית + שליטה מההגה,אין,אין,אין,--,אין,אין,--,--,אין,4.0,בקרת אקלים,אין,אין,יש,בד,אין,אין,--,רגילים,אין,אין,אין,אין,אין,אין,אין,--,--,אין,אין,אין,אין,--,--,--,--,--,--,--,--,--,--,"פנסי ערפל, מחליף דיסקים מובנה, חישוקים קלים."
17,הונדה,FR-V,Trend,2010.0,5.0,6,--,4.0,--,שלוש שנים,2004.0,קדמית,אוטומטית - טיפטרוניק,5,בנזין,4.0,1799.0,140.0,6300.0,17.7,4300.0,12.5,185,--,--,12.3,--,--,--,--,--,8,0,ABS + EBD + BAS,6.0,יש,אין,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,428.5,181.0,161.0,268.0,439.0,1049,1449.0,--,--,205/55R16,58.0,מקורית,אין,אין,אין,--,אין,אין,--,--,אין,4.0,בקרת אקלים,אין,אין,ללא,בד,אין,אין,--,רגילים,אין,אין,אין,אין,אין,אין,אין,--,--,אין,אין,אין,אין,--,--,--,--,--,--,--,--,--,--,"פנסי ערפל, מחליף דיסקים מובנה, חישוקים קלים."
18,הונדה,FR-V,Executive,2009.0,5.0,6,--,5.0,--,שלוש שנים,2004.0,קדמית,אוטומטית - טיפטרוניק,5,בנזין,4.0,1799.0,140.0,6300.0,17.7,4300.0,12.5,185,--,--,12.3,--,--,--,--,--,8,0,ABS + EBD + BAS,6.0,יש,אין,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,428.5,181.0,161.0,268.0,439.0,1049,1449.0,--,--,205/55R16,58.0,מקורית + שליטה מההגה,אין,אין,אין,--,אין,אין,--,--,אין,4.0,בקרת אקלים,יש,יש,יש,בד,אין,אין,--,קסנון,יש,יש,אין,אין,אין,אין,אין,--,--,אין,אין,אין,אין,--,--,--,--,--,--,--,--,--,--,--
19,הונדה,FR-V,Executive,2007.0,5.0,6,--,5.0,--,שלוש שנים,2004.0,קדמית,אוטומטית - טיפטרוניק,5,בנזין,4.0,1799.0,140.0,6300.0,17.7,4300.0,12.5,185,--,--,12.3,--,--,--,--,--,--,0,ABS + EBD + BAS,6.0,יש,אין,יש,אין,--,--,--,--,אין,--,--,--,--,--,--,--,--,--,--,428.5,181.0,161.0,268.0,439.0,1049,1449.0,--,--,205/55R16,58.0,מקורית + שליטה מההגה,אין,אין,אין,--,אין,אין,--,--,אין,4.0,בקרת אקלים,יש,יש,יש,בד,אין,אין,--,קסנון,יש,יש,אין,אין,אין,אין,אין,--,--,אין,אין,אין,אין,--,--,--,--,--,--,--,--,--,--,--
20,הונדה,HR-V,Executive,2021.0,5.0,5,--,5.0,4018,--,2014.0,קדמית,אוטומטית - רציפה,--,בנזין,4.0,1498.0,130.0,6600.0,15.8,4600.0,11.4,187,--,--,14.4,--,--,--,--,--,9,0,ABS + EBD + BAS,6.0,יש,יש,יש,יש,יש,יש,יש,אין,אין,התרעה בלבד,אין,אין,אין,אין,יש,יש,אין,אין,--,434.6,179.0,160.5,261.0,393.0,1456,1251.0,650,1000,225/50R18,50.0,מקורית + שליטה מההגה,יש,אין,יש,7,אין,USB + AUX,אין,אין,אין,4.0,בקרת אקלים מפוצלת,גג שמש פנוראמי,יש,יש,בד משולב עור,אין,אין,אין,LED,יש,יש,יש,אחוריים + קדמיים,אחורית,אין,יש,אין,אין,כניסה + הנעה,יש,מראות פנים,יש,אין,יש,אין,יש,יש + Auto Hold,אין,אין,רגילים,אין,"חלונות כהים מאחור, משענת יד אחורית, מסילות גג",--
21,הונדה,HR-V,Comfort,2016.0,5.0,5,--,3.0,--,--,2014.0,קדמית,אוטומטית - רציפה,--,בנזין,4.0,1498.0,131.0,6600.0,15.8,4600.0,10.8,187,16.4,21.7,19.2,--,--,--,--,--,3,0,ABS + EBD + BAS,6.0,יש,יש,יש,יש,יש,יש,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,--,429.4,177.2,160.5,261.0,431.0,1533,1249.0,500,1000,215/60R16,50.0,מקורית + שליטה מההגה,יש,אין,יש,--,יש,USB + AUX,אין,אין,אין,4.0,בקרת אקלים,אין,יש,יש,בד,אין,מלפנים,אין,רגילים,אופציונלי,אין,יש,אין,אין,אין,יש,אין,אין,אין,יש,אין,אין,אין,אין,אין,יש,יש + Auto Hold,אין,אין,רגילים,אין,--,"חיישני חניה אחוריים וקדמיים, מדרגות צד, מסילות גג"
22,הונדה,HR-V,Comfort,2019.0,5.0,5,--,3.0,--,--,2014.0,קדמית,אוטומטית - רציפה,--,בנזין,4.0,1498.0,130.0,6600.0,15.8,4600.0,11.2,187,15.8,21.2,19.2,--,--,--,--,--,6,0,ABS + EBD + BAS,6.0,יש,יש,יש,יש,יש,יש,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,אין,"מערכת ""מובילאיי"" בהתקנה מקומית",433.5,177.2,160.5,261.0,431.0,1456,1249.0,650,1000,215/60R16,50.0,מקורית + שליטה מההגה,יש,אין,יש,--,יש,USB + AUX,אין,אין,אין,4.0,בקרת אקלים,אין,יש,יש,בד,אין,אין,אין,רגילים,אופציונלי,אין,יש,אין,אחורית,אין,יש,אין,אין,אין,יש,אין,אין,אין,אין,אין,יש,יש + Auto Hold,אין,אין,רגילים,אין,--,חיישני חניה אחוריים וקדמיים
23,הונדה,HR-V,Elegance,2020.0,5.0,5,--,3.0,3718,--,2014.0,קדמית,אוטומטית - רציפה,--,בנזין,4.0,1498.0,130.0,6600.0,15.8,4600.0,11.2,187,15.8,21.2,19.2,--,--,--,--,--,6,0,ABS + EBD + BAS,6.0,יש,יש,יש,יש,יש,יש,יש,אין,אין,התרעה בלבד,אין,אין,אין,אין,יש,יש,אין,אין,--,433.5,177.2,160.5,261.0,393.0,1456,1251.0,650,1000,215/60R16,50.0,מקורית + שליטה מההגה,יש,אין,יש,7,אין,USB + AUX,אין,אין,אין,4.0,בקרת אקלים מפוצלת,אין,יש,יש,בד,אין,אין,אין,LED,יש,יש,יש,אחוריים + קדמיים,אחורית,אין,יש,אין,אין,אין,יש,אין,יש,אין,יש,אין,יש,יש + Auto Hold,אין,אין,רגילים,אין,"חלונות כהים מאחור, משענת יד אחורית",--
